= AFC Asian Cup qualification 2022

# Date       Wed Jun 8 - Tue Jun 14 2022 (6d)
# Teams      24
# Matches    36

Wed Jun 8
  Kuwait                 1-2 Indonesia                @ Kuwait City, Kuwait
  Jordan                 2-0 Nepal                    @ Kuwait City, Kuwait
  Philippines            0-0 Yemen                    @ Ulaanbaatar, Mongolia
  Mongolia               0-1 Palestine                @ Ulaanbaatar, Mongolia
  Thailand               3-0 Maldives                 @ Namangan, Uzbekistan
  Uzbekistan             3-0 Sri Lanka                @ Namangan, Uzbekistan
  Hong Kong              2-1 Afghanistan              @ Kolkota, India
  India                  2-0 Cambodia                 @ Kolkota, India
  Bahrain                2-0 Bangladesh               @ Kuala Lumpur, Malaysia
  Malaysia               3-1 Turkmenistan             @ Kuala Lumpur, Malaysia
  Tajikistan             4-0 Myanmar                  @ Bishkek, Kyrgyzstan
  Kyrgyzstan             2-1 Singapore                @ Bishkek, Kyrgyzstan
Sat Jun 11
  Kuwait                 4-1 Nepal                    @ Kuwait City, Kuwait
  Indonesia              0-1 Jordan                   @ Kuwait City, Kuwait
  Mongolia               0-1 Philippines              @ Ulaanbaatar, Mongolia
  Yemen                  0-5 Palestine                @ Ulaanbaatar, Mongolia
  Sri Lanka              0-2 Thailand                 @ Namangan, Uzbekistan
  Uzbekistan             4-0 Maldives                 @ Namangan, Uzbekistan
  Cambodia               0-3 Hong Kong                @ Kolkota, India
  India                  2-1 Afghanistan              @ Kolkota, India
  Bangladesh             1-2 Turkmenistan             @ Kuala Lumpur, Malaysia
  Malaysia               1-2 Bahrain                  @ Kuala Lumpur, Malaysia
  Singapore              0-1 Tajikistan               @ Bishkek, Kyrgyzstan
  Kyrgyzstan             2-0 Myanmar                  @ Bishkek, Kyrgyzstan
Tue Jun 14
  Kuwait                 0-3 Jordan                   @ Kuwait City, Kuwait
  Indonesia              7-0 Nepal                    @ Kuwait City, Kuwait
  Palestine              4-0 Philippines              @ Ulaanbaatar, Mongolia
  Mongolia               2-0 Yemen                    @ Ulaanbaatar, Mongolia
  Maldives               1-0 Sri Lanka                @ Namangan, Uzbekistan
  Uzbekistan             2-0 Thailand                 @ Namangan, Uzbekistan
  Afghanistan            2-2 Cambodia                 @ Kolkota, India
  India                  4-0 Hong Kong                @ Kolkota, India
  Bahrain                1-0 Turkmenistan             @ Kuala Lumpur, Malaysia
  Malaysia               4-1 Bangladesh               @ Kuala Lumpur, Malaysia
  Myanmar                2-6 Singapore                @ Bishkek, Kyrgyzstan
  Kyrgyzstan             0-0 Tajikistan               @ Bishkek, Kyrgyzstan

