= AFC Asian Cup qualification 2025

# Date       Tue Mar 25 - Wed Nov 19 2025 (239d)
# Teams      24
# Matches    59

Tue Mar 25
  Tajikistan             1-0 Timor-Leste              @ Dushanbe, Tajikistan
  Philippines            4-1 Maldives                 @ Capas, Philippines
  Bhutan                 0-0 Yemen                    @ Thimphu, Bhutan
  Lebanon                5-0 Brunei                   @ Al Wakrah, Qatar
  India                  0-0 Bangladesh               @ Shillong, India
  Singapore              0-0 Hong Kong                @ Kallang, Singapore
  Taiwan                 1-2 Turkmenistan             @ Kaohsiung, Taiwan
  Thailand               1-0 Sri Lanka                @ Bangkok, Thailand
  Myanmar                2-1 Afghanistan              @ Yangon, Myanmar
  Syria                  2-0 Pakistan                 @ Al Hofuf, Saudi Arabia
  Vietnam                5-0 Laos                     @ Thu Dau Mot, Vietnam
  Malaysia               2-0 Nepal                    @ Johor, Malaysia
Tue Jun 10
  Timor-Leste            1-0 Maldives                 @ Darwin, Australia
  Philippines            2-2 Tajikistan               @ Capas, Philippines
  Brunei                 2-1 Bhutan                   @ Bandar Seri Begawan, Brunei
  Yemen                  0-0 Lebanon                  @ Kuwait City, Kuwait
  Bangladesh             1-2 Singapore                @ Dhaka, Bangladesh
  Hong Kong              1-0 India                    @ Kowloon, Hong Kong
  Sri Lanka              3-1 Taiwan                   @ Colombo, Sri Lanka
  Turkmenistan           3-1 Thailand                 @ Ashgabat, Turkmenistan
  Myanmar                1-0 Pakistan                 @ Yangon, Myanmar
  Afghanistan            0-1 Syria                    @ Al Hofuf, Saudi Arabia
  Laos                   2-1 Nepal                    @ Vientiane, Laos
  Malaysia               4-0 Vietnam                  @ Kuala Lumpur, Malaysia
Thu Oct 9
  Tajikistan             2-0 Maldives                 @ Hisor, Tajikistan
  Timor-Leste            1-4 Philippines              @ Darwin, Australia
  Brunei                 0-2 Yemen                    @ Bandar Seri Begawan, Brunei
  Lebanon                2-0 Bhutan                   @ Doha, Qatar
  Singapore              1-1 India                    @ Kallang, Singapore
  Bangladesh             3-4 Hong Kong                @ Dhaka, Bangladesh
  Sri Lanka              1-0 Turkmenistan             @ Colombo, Sri Lanka
  Thailand               2-0 Taiwan                   @ Bangkok, Thailand
  Pakistan               0-0 Afghanistan              @ Islamabad, Pakistan
  Syria                  5-1 Myanmar                  @ Al Hofuf, Saudi Arabia
  Laos                   0-3 Malaysia                 @ Vientiane, Laos
  Vietnam                3-1 Nepal                    @ Ho Chi Minh City, Vietnam
Tue Oct 14
  Maldives               0-3 Tajikistan               @ Malé, Maldives
  Philippines            3-1 Timor-Leste              @ Capas, Philippines
  Bhutan                 0-4 Lebanon                  @ Al Wakrah, Qatar
  Yemen                  9-0 Brunei                   @ Kuwait City, Kuwait
  India                  1-2 Singapore                @ Margao, India
  Hong Kong              1-1 Bangladesh               @ Kowloon, Hong Kong
  Taiwan                 1-6 Thailand                 @ Taipei, Taiwan
  Turkmenistan           2-1 Sri Lanka                @ Arkadag, Turkmenistan
  Myanmar                0-3 Syria                    @ Yangon, Myanmar
  Afghanistan            1-1 Pakistan                 @ Al Farwaniyah, Kuwait
  Vietnam                1-0 Nepal                    @ Ho Chi Minh City, Vietnam
  Malaysia               5-1 Laos                     @ Kuala Lumpur, Malaysia
Tue Nov 18
  Maldives               0-2 Philippines              @ Malé, Maldives
  Timor-Leste            0-5 Tajikistan               @ Darwin, Australia
  Yemen                  7-1 Bhutan                   @ Kuwait City, Kuwait
  Brunei                 0-3 Lebanon                  @ Bandar Seri Begawan, Brunei
  Bangladesh             1-0 India                    @ Dhaka, Bangladesh
  Hong Kong              1-2 Singapore                @ Kowloon, Hong Kong
  Sri Lanka              0-4 Thailand                 @ Colombo, Sri Lanka
  Turkmenistan           3-1 Taiwan                   @ Arkadag, Turkmenistan
  Pakistan               0-5 Syria                    @ Islamabad, Pakistan
  Malaysia               1-0 Nepal                    @ Kuala Lumpur, Malaysia
Wed Nov 19
  Laos                   0-2 Vietnam                  @ Vientiane, Laos

