= CONCACAF Series 2025

# Date       Wed Nov 12 - Tue Nov 18 2025 (6d)
# Teams      19
# Matches    19

Wed Nov 12
  Cuba                 v Saint Lucia           3-0   @ Santiago de los Caballeros, Dominican Republic
  Dominican Republic   v Saint Vincent and the Grenadines  2-0   @ Santiago de los Caballeros, Dominican Republic
  Dominica             v Saint Martin          1-2   @ Basseterre, Saint Kitts and Nevis
  Saint Kitts and Nevis v Sint Maarten          0-0   @ Basseterre, Saint Kitts and Nevis
  Barbados             v Bonaire               3-2   @ North Sound, Antigua and Barbuda
  Antigua and Barbuda  v Aruba                 0-0   @ North Sound, Antigua and Barbuda
  Bahamas              v Anguilla              1-2   @ George Town, Cayman Islands
  Cayman Islands       v British Virgin Islands  1-2   @ George Town, Cayman Islands
Sat Nov 15
  Martinique           v Cuba                  0-2   @ Santiago de los Caballeros, Dominican Republic
  Saint Vincent and the Grenadines v Saint Lucia           3-1   @ Santiago de los Caballeros, Dominican Republic
  Dominica             v Sint Maarten          2-3   @ Basseterre, Saint Kitts and Nevis
  Saint Martin         v Belize                0-1   @ Basseterre, Saint Kitts and Nevis
  Barbados             v Aruba                 0-3   @ North Sound, Antigua and Barbuda
  Guyana               v Bonaire               2-1   @ North Sound, Antigua and Barbuda
  Bahamas              v British Virgin Islands  0-6   @ George Town, Cayman Islands
  Cayman Islands       v Anguilla              4-0   @ George Town, Cayman Islands
Tue Nov 18
  Dominican Republic   v Martinique            0-0   @ Santiago de los Caballeros, Dominican Republic
  Saint Kitts and Nevis v Belize                2-6   @ Basseterre, Saint Kitts and Nevis
  Antigua and Barbuda  v Guyana                1-4   @ North Sound, Antigua and Barbuda

