= CONCACAF Series 2025

# Date       Wed Nov 12 - Tue Nov 18 2025 (6d)
# Teams      19
# Matches    19

Wed Nov 12
  Cuba                   3-0 Saint Lucia              @ Santiago de los Caballeros, Dominican Republic
  Dominican Republic     2-0 Saint Vincent and the Grenadines   @ Santiago de los Caballeros, Dominican Republic
  Dominica               1-2 Saint Martin             @ Basseterre, Saint Kitts and Nevis
  Saint Kitts and Nevis  0-0 Sint Maarten             @ Basseterre, Saint Kitts and Nevis
  Barbados               3-2 Bonaire                  @ North Sound, Antigua and Barbuda
  Antigua and Barbuda    0-0 Aruba                    @ North Sound, Antigua and Barbuda
  Bahamas                1-2 Anguilla                 @ George Town, Cayman Islands
  Cayman Islands         1-2 British Virgin Islands   @ George Town, Cayman Islands
Sat Nov 15
  Martinique             0-2 Cuba                     @ Santiago de los Caballeros, Dominican Republic
  Saint Vincent and the Grenadines 3-1 Saint Lucia              @ Santiago de los Caballeros, Dominican Republic
  Dominica               2-3 Sint Maarten             @ Basseterre, Saint Kitts and Nevis
  Saint Martin           0-1 Belize                   @ Basseterre, Saint Kitts and Nevis
  Barbados               0-3 Aruba                    @ North Sound, Antigua and Barbuda
  Guyana                 2-1 Bonaire                  @ North Sound, Antigua and Barbuda
  Bahamas                0-6 British Virgin Islands   @ George Town, Cayman Islands
  Cayman Islands         4-0 Anguilla                 @ George Town, Cayman Islands
Tue Nov 18
  Dominican Republic     0-0 Martinique               @ Santiago de los Caballeros, Dominican Republic
  Saint Kitts and Nevis  2-6 Belize                   @ Basseterre, Saint Kitts and Nevis
  Antigua and Barbuda    1-4 Guyana                   @ North Sound, Antigua and Barbuda

